investor_id,avg_gap_days,at_risk
INV000004,85.4,True
INV000008,70.4,True
INV000010,64.8,True
INV000011,40.166666666666664,True
INV000012,57.0,True
INV000013,55.333333333333336,True
INV000014,75.33333333333333,True
INV000023,58.57142857142857,True
INV000028,93.6,True
INV000029,60.666666666666664,True
INV000030,47.625,True
INV000033,45.57142857142857,True
INV000039,68.6,True
INV000045,70.6,True
INV000048,46.0,True
INV000052,36.2,True
INV000056,74.8,True
INV000057,49.714285714285715,True
INV000069,49.111111111111114,True
INV000072,83.0,True
INV000073,48.25,True
INV000074,72.57142857142857,True
INV000075,74.8,True
INV000076,91.8,True
INV000079,65.8,True
INV000081,81.33333333333333,True
INV000082,83.66666666666667,True
INV000086,44.666666666666664,True
INV000087,92.8,True
INV000091,44.0,True
INV000093,55.5,True
INV000094,44.8,True
INV000095,69.4,True
INV000097,54.5,True
INV000101,65.0,True
INV000102,65.28571428571429,True
INV000103,83.4,True
INV000105,57.0,True
INV000109,46.25,True
INV000113,46.0,True
INV000123,59.666666666666664,True
INV000128,82.0,True
INV000131,56.0,True
INV000132,71.0,True
INV000133,88.2,True
INV000138,76.2,True
INV000145,89.4,True
INV000146,66.8,True
INV000148,52.0,True
INV000155,37.333333333333336,True
INV000161,73.0,True
INV000163,61.0,True
INV000164,61.8,True
INV000169,67.83333333333333,True
INV000173,57.666666666666664,True
INV000175,83.66666666666667,True
INV000177,65.42857142857143,True
INV000180,61.8,True
INV000183,56.125,True
INV000191,56.5,True
INV000194,58.0,True
INV000195,77.4,True
INV000196,69.0,True
INV000201,51.125,True
INV000205,62.57142857142857,True
INV000210,70.71428571428571,True
INV000214,94.8,True
INV000217,92.0,True
INV000228,59.75,True
INV000236,67.14285714285714,True
INV000238,93.6,True
INV000239,48.857142857142854,True
INV000243,88.2,True
INV000245,92.2,True
INV000249,45.5,True
INV000252,50.4,True
INV000255,48.6,True
INV000256,70.2,True
INV000259,70.6,True
INV000260,59.57142857142857,True
INV000262,53.57142857142857,True
INV000263,68.42857142857143,True
INV000265,53.44444444444444,True
INV000268,62.333333333333336,True
INV000279,43.375,True
INV000280,55.75,True
INV000283,68.0,True
INV000287,69.83333333333333,True
INV000289,62.714285714285715,True
INV000291,89.0,True
INV000292,46.0,True
INV000293,47.0,True
INV000297,90.6,True
INV000299,85.2,True
INV000304,70.0,True
INV000309,52.0,True
INV000310,75.83333333333333,True
INV000318,97.4,True
INV000319,73.5,True
INV000321,72.83333333333333,True
INV000328,37.5,True
INV000331,50.714285714285715,True
INV000334,25.5,False
INV000335,96.0,True
INV000339,94.0,True
INV000341,54.42857142857143,True
INV000356,54.4,True
INV000359,54.125,True
INV000363,77.0,True
INV000369,43.8,True
INV000371,59.285714285714285,True
INV000372,54.5,True
INV000380,97.0,True
INV000388,53.625,True
INV000392,77.16666666666667,True
INV000395,55.666666666666664,True
INV000396,83.2,True
INV000399,49.55555555555556,True
INV000400,62.6,True
INV000403,58.2,True
INV000407,82.4,True
INV000408,46.8,True
INV000412,43.714285714285715,True
INV000414,66.28571428571429,True
INV000415,66.16666666666667,True
INV000418,86.8,True
INV000427,68.5,True
INV000428,52.142857142857146,True
INV000429,77.2,True
INV000437,97.8,True
INV000440,69.57142857142857,True
INV000441,60.8,True
INV000444,73.2,True
INV000445,57.75,True
INV000446,38.6,True
INV000449,46.8,True
INV000452,49.375,True
INV000457,91.4,True
INV000460,43.4,True
INV000463,65.16666666666667,True
INV000466,73.33333333333333,True
INV000467,56.666666666666664,True
INV000469,70.5,True
INV000483,70.42857142857143,True
INV000491,95.0,True
INV000493,47.55555555555556,True
INV000497,71.83333333333333,True
INV000499,77.83333333333333,True
INV000507,70.16666666666667,True
INV000512,54.75,True
INV000522,100.8,True
INV000524,55.0,True
INV000527,50.8,True
INV000529,59.2,True
INV000531,47.0,True
INV000539,77.0,True
INV000540,73.5,True
INV000543,83.66666666666667,True
INV000545,80.6,True
INV000546,55.0,True
INV000547,55.8,True
INV000549,96.2,True
INV000553,72.0,True
INV000554,70.2,True
INV000556,52.42857142857143,True
INV000562,74.4,True
INV000563,76.33333333333333,True
INV000566,35.0,False
INV000567,63.8,True
INV000568,62.4,True
INV000570,67.28571428571429,True
INV000573,50.833333333333336,True
INV000575,71.6,True
INV000578,66.83333333333333,True
INV000581,78.33333333333333,True
INV000586,44.5,True
INV000589,59.125,True
INV000591,64.5,True
INV000593,74.2,True
INV000596,51.75,True
INV000597,88.6,True
INV000599,81.5,True
INV000607,66.66666666666667,True
INV000608,100.2,True
INV000609,47.0,True
INV000612,49.3,True
INV000615,55.833333333333336,True
INV000624,31.666666666666668,False
INV000625,86.4,True
INV000630,68.66666666666667,True
INV000631,54.0,True
INV000634,52.25,True
INV000635,75.0,True
INV000641,54.8,True
INV000642,53.5,True
INV000645,66.0,True
INV000646,62.333333333333336,True
INV000651,94.0,True
INV000652,93.8,True
INV000657,64.71428571428571,True
INV000662,66.14285714285714,True
INV000663,94.4,True
INV000665,36.22222222222222,True
INV000667,68.0,True
INV000673,92.8,True
INV000675,62.8,True
INV000676,35.3,True
INV000678,63.333333333333336,True
INV000683,54.5,True
