amfi_code,scheme_name,fund_house,category,expense_ratio_pct,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,volatility,alpha,beta,r_squared,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,er_rank,dd_rank,fund_score,tracking_error
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,0.21808200923194887,0.48357916628389264,,1.4482911703262598,2.3856443733688186,0.1419370675462035,0.2698375144191807,0.023683558075848623,0.0004625436906623847,-0.1126572907502827,4.0,1.0,7.0,23.0,8.0,80.04216444132115,0.1896636779215802
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,0.7605497149296578,0.5222363649845485,,1.093698743534631,1.8291339615146942,0.18936710835214166,0.2719535450128533,0.0051035258305283104,1.2066520635068168e-05,-0.1621720857464485,2.0,7.0,6.0,17.0,20.0,77.23120168657765,0.22869942052083106
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,0.46844930528814754,0.4660517409979723,,1.1801011976606492,2.0293529404657464,0.19290949406318195,0.2926358334175106,0.000549004250631712,1.3455341675668847e-07,-0.1818851357211629,5.0,5.0,3.0,15.0,25.0,77.23120168657765,0.2319675096004632
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,0.4379771636116989,0.3924708586762271,,1.3067439695428409,2.3643200321667184,0.1588698652360926,0.27330465038306057,-0.02282956979242654,0.00034305434271514465,-0.1297396816518679,10.0,2.0,5.0,22.0,13.0,74.42023893183415,0.20642496841144062
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,0.17091276132687927,0.4361726061354907,,1.0265242847993001,1.8052937940992548,0.14363780566736659,0.2119482701352573,0.016232169761417007,0.00021216129075887457,-0.12588275606922514,6.0,10.0,13.0,12.0,12.0,72.17146872803936,0.1915870037972257
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,0.4776800290536205,0.5626345191578954,,0.9982309868636413,1.7037974802463003,0.1940711742333472,0.2607666908004223,-0.06626542862803757,0.001936878936960232,-0.20960883862039192,1.0,11.0,9.0,17.0,28.0,71.3281799016163,0.23765197701108368
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.54,0.7804355357519992,0.4257677141842604,,1.2082665673727175,2.140267129061793,0.13741434141879644,0.23201007160635082,-0.03175144113890972,0.0008869788879322809,-0.15012385498645334,8.0,4.0,10.0,30.5,17.0,67.18200983836962,0.1911825685163082
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.6,0.715122608728882,0.5040978497950555,,1.0272133278753695,1.799562874698452,0.14568212847454326,0.21399784776051212,0.02108631625012803,0.0003480482030714251,-0.11291596329323078,3.0,9.0,12.0,36.5,9.0,66.47926914968376,0.1927064051369653
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.43,1.4302246021436313,0.42717536088405406,,0.9453082575156095,1.6753165700125519,0.25140578624384674,0.3033696538698332,-0.023196062044059693,0.0001414257550272171,-0.28706005721764555,7.0,14.0,1.0,21.0,36.0,64.72241742796908,0.2838814541332667
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1.6,0.7043703742204166,0.35497013782022835,,1.2349300257743294,2.146913926346055,0.17674006691346694,0.2827036785246582,0.018133884083859245,0.00017488886568129566,-0.16396742946932633,13.0,3.0,4.0,36.5,21.0,63.38721011946591,0.21736518889258571
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.66,0.1217853665293267,0.23046919766375762,,0.9532794968660104,1.609776489628308,0.13939367612717501,0.1986859936686296,-0.026159307513513405,0.0005850821704543426,-0.118034935027643,23.0,12.0,15.0,4.0,11.0,58.95994378074491,0.19212721030300678
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.61,0.33889082809747095,0.36973159237898967,,1.1321218524747243,1.8751010639192083,0.17746159397550842,0.26598577542043045,-0.002523004664699247,3.357978192008859e-06,-0.17248105753451382,12.0,6.0,8.0,38.0,22.0,58.95994378074491,0.21952116319885415
